5_o_Clock_Shadow      |   胡茬
Arched_Eyebrows       |   柳叶眉
Attractive            |   有魅力
Bags_Under_Eyes       |   眼袋
Bald                  |   秃顶
Bangs                 |   刘海
Big_Lips              |   大嘴唇
Big_Nose              |   大鼻子
Black_Hair            |   黑发
Blond_Hair            |   金发
Blurry                |   模糊
Brown_Hair            |   棕发
Bushy_Eyebrows        |   浓眉
Chubby                |   圆脸
Double_Chin           |   双下巴
Eyeglasses            |   戴眼镜
Goatee                |   山羊胡
Gray_Hair             |   白发
Heavy_Makeup          |   浓妆
High_Cheekbones       |   高颧骨
Male                  |   性别（男）
Mouth_Slightly_Open   |   嘴巴微张
Mustache              |   胡子
Narrow_Eyes           |   眯眯眼
No_Beard              |   没有胡子
Oval_Face             |   瓜子脸/鹅蛋脸
Pale_Skin             |   皮肤苍白
Pointy_Nose           |   尖鼻子
Receding_Hairline     |   发际线后移
Rosy_Cheeks           |   红润脸颊
Sideburns             |   鬓角
Smiling               |   微笑
Straight_Hair         |   直发
Wavy_Hair             |   卷发
Wearing_Earrings      |   戴耳环
Wearing_Hat           |   戴帽子
Wearing_Lipstick      |   涂口红
Wearing_Necklace      |   戴项链
Wearing_Necktie       |   扎领带
Young                 |   青年
